year,bank,survey_scope,survey_type,plot_group,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover,data_source_branch
1991,WFGB,study_site,RT,CCA,2,5.191662012338783,4.3569714678970035,3.080844070386277,cpce
1991,WFGB,study_site,RT,Colonizable Substrate,2,36.01005334822718,6.5381808764451455,4.623192034358567,cpce
1991,WFGB,study_site,RT,Coral,2,42.59993965423159,2.035038871700592,1.4389897861577088,cpce
1991,WFGB,study_site,RT,Macroalgae,2,12.415178886684771,0.35316980642049234,0.24972876503027042,cpce
1991,WFGB,study_site,RT,Other,2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Sand,2,1.4803972549095135,1.347311035290509,0.9526927694213868,cpce
1991,WFGB,study_site,RT,Sponge,2,2.3027688436081633,0.8479706920224633,0.5996058265765333,cpce
1992,EFGB,study_site,RT,CCA,18,2.797797134517801,1.2106910147037493,0.28536260880621445,cpce
1992,EFGB,study_site,RT,Colonizable Substrate,18,21.89612468780315,7.669562314659325,1.8077331738094677,cpce
1992,EFGB,study_site,RT,Coral,18,55.1214473910893,12.697756262413401,2.992889853002156,cpce
1992,EFGB,study_site,RT,Macroalgae,18,17.674891860354244,7.193203538409516,1.6954543334881458,cpce
1992,EFGB,study_site,RT,Other,18,0.11196493831167101,0.12493908313296145,0.029448424306182285,cpce
1992,EFGB,study_site,RT,Sand,18,0.49285026663282266,0.715699812161627,0.1686920634911416,cpce
1992,EFGB,study_site,RT,Sponge,18,1.9049237212910133,1.629546797667093,0.38408786363040814,cpce
1992,WFGB,study_site,RT,CCA,18,3.5012172629964313,1.641021823272923,0.38679255310379873,cpce
1992,WFGB,study_site,RT,Colonizable Substrate,18,25.360967899315266,7.46549794456822,1.759634740512807,cpce
1992,WFGB,study_site,RT,Coral,18,54.04993489833158,7.948645658165371,1.8735137487125808,cpce
1992,WFGB,study_site,RT,Macroalgae,18,13.147883061441627,3.4224251102878305,0.8066733345292143,cpce
1992,WFGB,study_site,RT,Other,18,0.13382634430477633,0.13718982754566647,0.03233595245578459,cpce
1992,WFGB,study_site,RT,Sand,18,1.527585438313623,2.5754856890077926,0.6070477985154393,cpce
1992,WFGB,study_site,RT,Sponge,18,2.278585095296698,1.5248648570659464,0.35941409360812876,cpce
1994,EFGB,study_site,RT,CCA,14,6.229671580856807,2.059366532783511,0.5503888571046045,cpce
1994,EFGB,study_site,RT,Colonizable Substrate,14,17.05049615631426,6.574673991336506,1.7571555360939108,cpce
1994,EFGB,study_site,RT,Coral,14,56.76560741776842,11.978892037779797,3.201493562751881,cpce
1994,EFGB,study_site,RT,Macroalgae,14,17.65882563238134,5.879346335305664,1.5713214032070528,cpce
1994,EFGB,study_site,RT,Other,14,0.04775234995759698,0.09492448323026348,0.02536963527601532,cpce
1994,EFGB,study_site,RT,Sand,14,0.49174153070133914,1.0110021012578383,0.2702016771582405,cpce
1994,EFGB,study_site,RT,Sponge,14,1.7559053320202362,1.259818016710969,0.33670052772982095,cpce
1994,WFGB,study_site,RT,CCA,15,6.091398560558758,1.7052964585210257,0.44030565227989465,cpce
1994,WFGB,study_site,RT,Colonizable Substrate,15,27.729796346379185,7.683282468700074,1.9838150030321862,cpce
1994,WFGB,study_site,RT,Coral,15,52.6146264406779,9.712183488570062,2.5076749937695,cpce
1994,WFGB,study_site,RT,Macroalgae,15,10.470253587235861,4.515570835792306,1.1659153763762338,cpce
1994,WFGB,study_site,RT,Other,15,0.015082956259426846,0.05841603840433509,0.015082956259426846,cpce
1994,WFGB,study_site,RT,Sand,15,0.027894002789400275,0.10803300826241047,0.027894002789400265,cpce
1994,WFGB,study_site,RT,Sponge,15,3.0509481060994674,2.8714070817965944,0.7413941205320165,cpce
1995,EFGB,study_site,RT,CCA,14,2.493579698458871,2.0284931172102807,0.5421375897164247,cpce
1995,EFGB,study_site,RT,Colonizable Substrate,14,15.990873282404296,9.627398289370545,2.573030423202722,cpce
1995,EFGB,study_site,RT,Coral,14,68.79362426406631,8.190122766705082,2.1889023820448217,cpce
1995,EFGB,study_site,RT,Macroalgae,14,11.137318481845936,4.914381641250811,1.3134237406723102,cpce
1995,EFGB,study_site,RT,Other,14,0.01445922498554077,0.05410146597417496,0.01445922498554077,cpce
1995,EFGB,study_site,RT,Sand,14,0.1709701713218512,0.2754330626092073,0.07361258237667928,cpce
1995,EFGB,study_site,RT,Sponge,14,1.399174876917199,2.6195329013422883,0.7000996164431963,cpce
1995,WFGB,study_site,RT,CCA,18,5.925461030789672,2.84896160648192,0.6715066904278286,cpce
1995,WFGB,study_site,RT,Colonizable Substrate,18,21.932645094150484,8.986664686007895,2.1181771799086198,cpce
1995,WFGB,study_site,RT,Coral,18,54.71663973115017,12.13826371804661,2.861016195620465,cpce
1995,WFGB,study_site,RT,Macroalgae,18,16.445085159844567,8.35054020167905,1.9682412010593793,cpce
1995,WFGB,study_site,RT,Other,18,0.04900361785644634,0.09437213687572948,0.022243725979964456,cpce
1995,WFGB,study_site,RT,Sand,18,0.013517166801838334,0.05734848184805738,0.013517166801838336,cpce
1995,WFGB,study_site,RT,Sponge,18,0.917648199406831,0.6309069623889485,0.14870619713434388,cpce
1996,EFGB,study_site,RT,CCA,8,5.087017732180801,1.0370642595092092,0.3666575852125836,cpce
1996,EFGB,study_site,RT,Colonizable Substrate,8,24.229311667162722,4.34647337385769,1.5367103984507722,cpce
1996,EFGB,study_site,RT,Coral,8,48.92142713320322,7.276867129694518,2.572761046600241,cpce
1996,EFGB,study_site,RT,Macroalgae,8,19.682772260469896,5.960086718123761,2.107208867422593,cpce
1996,EFGB,study_site,RT,Other,8,0.08916803241481702,0.08746554316937279,0.030923739347614103,cpce
1996,EFGB,study_site,RT,Sand,8,0.7975905377884902,1.407834558872455,0.4977446816837423,cpce
1996,EFGB,study_site,RT,Sponge,8,1.1927126367800571,0.49687907243480856,0.1756732807741674,cpce
1996,WFGB,study_site,RT,CCA,8,8.887153491645082,3.2847360537283237,1.1613295689996186,cpce
1996,WFGB,study_site,RT,Colonizable Substrate,8,19.3705148725821,4.190590930557251,1.4815976320879383,cpce
1996,WFGB,study_site,RT,Coral,8,49.33746634796026,5.719278071280475,2.022070153846971,cpce
1996,WFGB,study_site,RT,Macroalgae,8,19.993505979989198,3.4968072411507625,1.2363080563599635,cpce
1996,WFGB,study_site,RT,Other,8,0.0268764045457559,0.05012801799347947,0.017722930725315302,cpce
1996,WFGB,study_site,RT,Sand,8,0.01240079365079365,0.035074741130285095,0.01240079365079365,cpce
1996,WFGB,study_site,RT,Sponge,8,2.3720821096268154,1.1641625141579988,0.4115936040821505,cpce
1997,EFGB,study_site,RT,CCA,8,4.942196732614756,1.6777214753426022,0.5931641160785265,cpce
1997,EFGB,study_site,RT,Colonizable Substrate,8,30.35305033250692,8.380703320436892,2.9630260744967707,cpce
1997,EFGB,study_site,RT,Coral,8,47.1597324308584,6.819578511991403,2.411085105331593,cpce
1997,EFGB,study_site,RT,Macroalgae,8,14.79125131961195,4.06433104438338,1.4369580212352453,cpce
1997,EFGB,study_site,RT,Other,8,0.03917974007378509,0.05416026074548343,0.019148543821981452,cpce
1997,EFGB,study_site,RT,Sand,8,0.6495807698341733,1.5097396637293696,0.5337735770246675,cpce
1997,EFGB,study_site,RT,Sponge,8,2.0650086745000116,1.7988724902161648,0.6359974681608908,cpce
1997,WFGB,study_site,RT,CCA,8,7.2561080412090675,3.478128921980458,1.229704273286719,cpce
1997,WFGB,study_site,RT,Colonizable Substrate,8,27.448611678434077,6.345809274453319,2.243582385041213,cpce
1997,WFGB,study_site,RT,Coral,8,45.90670457635311,9.294271380212217,3.2860211595680555,cpce
1997,WFGB,study_site,RT,Macroalgae,8,16.524281955573972,3.039868891574332,1.0747559535751219,cpce
1997,WFGB,study_site,RT,Other,8,0.013034410844629812,0.03686688118803686,0.013034410844629812,cpce
1997,WFGB,study_site,RT,Sand,8,0.9002394789754109,1.0240834160419667,0.3620681639919795,cpce
1997,WFGB,study_site,RT,Sponge,8,1.951019858609739,1.090084312141706,0.38540300459023674,cpce
1998,EFGB,study_site,RT,CCA,7,5.8655755058364605,1.2970200417849709,0.4902274965756624,cpce
1998,EFGB,study_site,RT,Colonizable Substrate,7,8.866726344442933,4.049966157306489,1.5307433243515522,cpce
1998,EFGB,study_site,RT,Coral,7,51.3574404085777,7.986946219178957,3.0187819186850144,cpce
1998,EFGB,study_site,RT,Macroalgae,7,29.637292245488247,5.251329724701938,1.9848160719946581,cpce
1998,EFGB,study_site,RT,Other,7,0.16147815783391015,0.1766364780820678,0.06676231335249468,cpce
1998,EFGB,study_site,RT,Sand,7,2.7572656245758402,3.5566630275992366,1.344292266897948,cpce
1998,EFGB,study_site,RT,Sponge,7,1.354221713244906,1.0473947491224644,0.395878004384704,cpce
1998,WFGB,study_site,RT,CCA,8,10.11075053252004,3.2247140285142817,1.1401085784749192,cpce
1998,WFGB,study_site,RT,Colonizable Substrate,8,9.60334140151711,5.365994407751248,1.8971655167649994,cpce
1998,WFGB,study_site,RT,Coral,8,47.64546672564295,13.760017682016139,4.864900906100205,cpce
